home,away,area,scoreHome,scoreAway
Armenia,Bulgaria,europe,2,1
Moldavia,San Marino,europe,3,0
Islandia,Chipre,europe,2,0
Lituania,Letonia,europe,2,0
Croacia,Bélgica,europe,1,2
Islas Feroe,Kazajstán,europe,1,1
Kazajstán,Suecia,europe,0,1
Bielorrusia,Francia,europe,2,4
Ucrania,Inglaterra,europe,0,0
Grecia,Letonia,europe,1,0
Chipre,Eslovenia,europe,0,2
Georgia,Finlandia,europe,0,1
Rumanía,Turquía,europe,0,2
Austria,República de Irlanda,europe,1,0
San Marino,Polonia,europe,1,5
Italia,República Checa,europe,2,1
ARY de Macedonia,Escocia,europe,1,2
Hungría,Estonia,europe,5,1
Andorra,Países Bajos,europe,0,2
Eslovaquia,Bosnia y Herzegovina,europe,1,2
Luxemburgo,Irlanda del Norte,europe,3,2
Armenia,Dinamarca,europe,0,1
Malta,Bulgaria,europe,1,2
Gales,Serbia,europe,0,3
Islas Feroe,Alemania,europe,0,3
Noruega,Suiza,europe,0,2
Rusia,Israel,europe,3,1
Islandia,Albania,europe,2,1
Lituania,Liechtenstein,europe,2,0
Israel,Azerbaiyán,europe,1,1
Georgia,Francia,europe,0,0
Finlandia,España,europe,0,2
Estonia,Países Bajos,europe,2,2
Letonia,Lituania,europe,2,1
Ucrania,San Marino,europe,9,0
Turquía,Andorra,europe,5,0
Rumanía,Hungría,europe,3,0
Kazajstán,Islas Feroe,europe,2,1
Alemania,Austria,europe,3,0
Polonia,Montenegro,europe,1,1
Liechtenstein,Grecia,europe,0,1
Italia,Bulgaria,europe,1,0
Serbia,Croacia,europe,1,1
Suiza,Islandia,europe,4,4
Eslovenia,Albania,europe,1,0
Bosnia y Herzegovina,Eslovaquia,europe,0,1
Inglaterra,Moldavia,europe,4,0
Malta,Dinamarca,europe,1,2
Escocia,Bélgica,europe,0,2
Irlanda del Norte,Portugal,europe,2,4
República de Irlanda,Suecia,europe,1,2
Rusia,Luxemburgo,europe,4,1
Noruega,Chipre,europe,2,0
ARY de Macedonia,Gales,europe,2,1
República Checa,Armenia,europe,1,2
Irlanda del Norte,Rusia,europe,1,0
Dinamarca,Armenia,europe,0,4
Bielorrusia,Finlandia,europe,1,1
Suecia,Islas Feroe,europe,2,0
Suiza,Chipre,europe,1,0
Lituania,Grecia,europe,0,1
Moldavia,Polonia,europe,1,1
Azerbaiyán,Luxemburgo,europe,1,1
Portugal,Rusia,europe,1,0
Bélgica,Serbia,europe,2,1
República Checa,Italia,europe,0,0
Austria,Suecia,europe,2,1
Montenegro,Ucrania,europe,0,4
Albania,Noruega,europe,1,1
Croacia,Escocia,europe,0,1
Armenia,Malta,europe,0,1
Liechtenstein,Eslovaquia,europe,1,1
República de Irlanda,Islas Feroe,europe,3,0
Letonia,Bosnia y Herzegovina,europe,0,5
Finlandia,Bielorrusia,europe,1,0
Islandia,Eslovenia,europe,2,4
Azerbaiyán,Portugal,europe,0,2
Ucrania,Moldavia,europe,2,1
Montenegro,Inglaterra,europe,1,1
Francia,España,europe,0,1
Alemania,Kazajstán,europe,4,1
Polonia,San Marino,europe,5,0
Malta,Italia,europe,0,2
Bélgica,ARY de Macedonia,europe,1,0
Serbia,Escocia,europe,2,0
Países Bajos,Rumanía,europe,4,0
Turquía,Hungría,europe,1,1
Dinamarca,Bulgaria,europe,1,1
Armenia,República Checa,europe,0,3
Gales,Croacia,europe,1,2
Irlanda del Norte,Israel,europe,0,2
República de Irlanda,Austria,europe,2,2
Estonia,Andorra,europe,2,0
Chipre,Suiza,europe,0,0
Kazajstán,Alemania,europe,0,3
Moldavia,Montenegro,europe,0,1
Francia,Georgia,europe,3,1
San Marino,Inglaterra,europe,0,8
España,Finlandia,europe,1,1
Suecia,República de Irlanda,europe,0,0
Polonia,Ucrania,europe,1,3
Bosnia y Herzegovina,Grecia,europe,3,1
ARY de Macedonia,Bélgica,europe,0,2
República Checa,Dinamarca,europe,0,3
Países Bajos,Estonia,europe,3,0
Hungría,Rumanía,europe,2,2
Austria,Islas Feroe,europe,6,0
Luxemburgo,Azerbaiyán,europe,0,0
Eslovaquia,Lituania,europe,1,1
Escocia,Gales,europe,1,2
Liechtenstein,Letonia,europe,1,1
Andorra,Turquía,europe,0,2
Noruega,Albania,europe,0,1
Bulgaria,Malta,europe,6,0
Croacia,Serbia,europe,2,0
Eslovenia,Islandia,europe,1,2
Israel,Portugal,europe,3,3
Irlanda del Norte,Azerbaiyán,europe,1,1
Montenegro,San Marino,europe,3,0
Polonia,Inglaterra,europe,1,1
Chipre,Noruega,europe,1,3
España,Francia,europe,1,1
Ucrania,Montenegro,europe,0,1
Rumanía,Países Bajos,europe,1,4
Alemania,Suecia,europe,4,4
Albania,Eslovenia,europe,1,0
Portugal,Irlanda del Norte,europe,1,1
Bélgica,Escocia,europe,2,0
Italia,Dinamarca,europe,3,1
Austria,Kazajstán,europe,4,0
Hungría,Turquía,europe,3,1
ARY de Macedonia,Serbia,europe,1,0
Eslovaquia,Grecia,europe,0,1
San Marino,Moldavia,europe,0,2
Croacia,Gales,europe,2,0
República Checa,Bulgaria,europe,0,0
Letonia,Liechtenstein,europe,2,0
Bosnia y Herzegovina,Lituania,europe,3,0
Bielorrusia,Georgia,europe,2,0
Andorra,Estonia,europe,0,1
Islas Feroe,República de Irlanda,europe,1,4
Rusia,Azerbaiyán,europe,1,0
Islandia,Suiza,europe,0,2
Israel,Luxemburgo,europe,3,0
Kazajstán,Austria,europe,0,0
Grecia,Bosnia y Herzegovina,europe,0,0
Estonia,Hungría,europe,0,1
Moldavia,Ucrania,europe,0,0
Bielorrusia,España,europe,0,4
Luxemburgo,Israel,europe,0,6
Bulgaria,Dinamarca,europe,1,1
Armenia,Italia,europe,1,3
Eslovenia,Chipre,europe,2,1
Suiza,Noruega,europe,1,1
ARY de Macedonia,Croacia,europe,1,2
Serbia,Bélgica,europe,0,3
Turquía,Rumanía,europe,0,1
Países Bajos,Andorra,europe,3,0
Eslovaquia,Letonia,europe,2,1
Inglaterra,San Marino,europe,5,0
Gales,Escocia,europe,2,1
República de Irlanda,Alemania,europe,1,6
Liechtenstein,Lituania,europe,0,2
Albania,Islandia,europe,1,2
Rusia,Portugal,europe,1,0
Finlandia,Georgia,europe,1,1
República Checa,Malta,europe,3,1
Islas Feroe,Suecia,europe,1,2
Grecia,Lituania,europe,2,0
Georgia,España,europe,0,1
Francia,Bielorrusia,europe,3,1
Turquía,Estonia,europe,3,0
Bulgaria,Armenia,europe,1,0
Italia,Malta,europe,2,0
Bélgica,Croacia,europe,1,1
Polonia,Moldavia,europe,2,0
Austria,Alemania,europe,1,2
Suecia,Kazajstán,europe,2,0
Rumanía,Andorra,europe,4,0
Hungría,Países Bajos,europe,1,4
San Marino,Montenegro,europe,0,6
Serbia,Gales,europe,6,1
Suiza,Albania,europe,2,0
Portugal,Azerbaiyán,europe,3,0
Eslovaquia,Liechtenstein,europe,2,0
Bosnia y Herzegovina,Letonia,europe,4,1
Chipre,Islandia,europe,1,0
Inglaterra,Ucrania,europe,1,1
Israel,Rusia,europe,0,4
Noruega,Eslovenia,europe,2,1
Escocia,ARY de Macedonia,europe,1,1
Irlanda del Norte,Luxemburgo,europe,1,1
Dinamarca,República Checa,europe,0,0
Escocia,Serbia,europe,0,0
Kazajstán,República de Irlanda,europe,1,2
Bulgaria,Italia,europe,2,2
Moldavia,Inglaterra,europe,0,5
Letonia,Grecia,europe,1,2
Finlandia,Francia,europe,0,1
Lituania,Eslovaquia,europe,1,1
Georgia,Bielorrusia,europe,1,0
Estonia,Rumanía,europe,0,2
Azerbaiyán,Israel,europe,1,1
Luxemburgo,Portugal,europe,1,2
Alemania,Islas Feroe,europe,3,0
Montenegro,Polonia,europe,2,2
Países Bajos,Turquía,europe,2,0
Andorra,Hungría,europe,0,5
Eslovenia,Suiza,europe,0,2
Albania,Chipre,europe,3,1
Croacia,ARY de Macedonia,europe,1,0
Malta,Armenia,europe,0,1
Gales,Bélgica,europe,0,2
Rusia,Irlanda del Norte,europe,2,0
Liechtenstein,Bosnia y Herzegovina,europe,1,8
Islandia,Noruega,europe,2,0
