home,away,area,scoreHome,scoreAway
Ecuador,Francia,matches,0,0
Portugal,Ghana,matches,2,1
Honduras,EEUU,nccamerica,2,1
México,El Salvador,nccamerica,2,0
Costa Rica,Guyana,nccamerica,7,0
Jamaica,Antigua y Barbuda,nccamerica,4,1
EEUU,Guatemala,nccamerica,3,1
Cuba,Panamá,nccamerica,1,1
Honduras,Canadá,nccamerica,8,1
Panamá,Honduras,nccamerica,0,0
Guyana,México,nccamerica,0,5
Guatemala,Jamaica,nccamerica,2,1
Perú,Chile,southamerica,1,0
Argentina,Venezuela,southamerica,3,0
Uruguay,Paraguay,southamerica,1,1
Colombia,Bolivia,southamerica,5,0
Chile,Argentina,southamerica,1,2
Paraguay,Perú,southamerica,1,0
Venezuela,Ecuador,southamerica,1,1
Bolivia,Uruguay,southamerica,4,1
Argentina,Uruguay,southamerica,3,0
Ecuador,Chile,southamerica,3,1
Ghana,Zambia,africa,2,1
Mali,Benín,africa,2,2
Guinea,Zimbabue,africa,1,0
Guinea Ecuatorial,Túnez,africa,1,1
Etiopía,Sudáfrica,africa,2,1
Liberia,Senegal,africa,0,2
Ruanda,Argelia,africa,0,1
RD del Congo,Camerún,africa,0,0
Tanzania,Costa de Marfil,africa,2,4
EEUU,Alemania,matches,0,1
República de Corea,Bélgica,matches,0,1
Argelia,Rusia,matches,1,1
Canadá,Cuba,nccamerica,3,0
El Salvador,Costa Rica,nccamerica,0,1
Antigua y Barbuda,EEUU,nccamerica,1,2
EEUU,Jamaica,nccamerica,1,0
Panamá,Canadá,nccamerica,2,0
México,Costa Rica,nccamerica,1,0
Guyana,El Salvador,nccamerica,2,3
Honduras,Cuba,nccamerica,1,0
Antigua y Barbuda,Guatemala,nccamerica,0,1
Bolivia,Perú,southamerica,1,1
Colombia,Paraguay,southamerica,2,0
Perú,Argentina,southamerica,1,1
Paraguay,Venezuela,southamerica,0,2
Uruguay,Ecuador,southamerica,1,1
Chile,Colombia,southamerica,1,3
Perú,Venezuela,southamerica,2,1
Argentina,Paraguay,southamerica,3,1
Ecuador,Bolivia,southamerica,1,0
Lesoto,Ghana,africa,0,2
Mozambique,Egipto,africa,0,1
Marruecos,Gambia,africa,2,0
Cabo Verde,Sierra Leona,africa,1,0
Uganda,Angola,africa,2,1
Gabón,Níger,africa,4,1
Congo,Burkina Faso,africa,0,1
Zambia,Sudán,africa,1,1
Botsuana,República Centroafricana,africa,3,2
